流水序,Unicode,常用字
02915,79c9,秉
02916,79d1,科
02917,79d2,秒
02918,79cb,秋
02919,79e4,秤
02920,79e3,秣
02921,79e7,秧
02922,79df,租
02923,79e6,秦
02924,79e9,秩
02925,79fb,移
02926,7a0d,稍
02927,7a08,稈
02928,7a0b,程
02929,7a05,稅
02930,7a00,稀
02931,7a1c,稜
02932,7a1a,稚
02933,7a20,稠
02934,7a14,稔
02935,7a1f,稟
02936,7a2e,種
02937,7a31,稱
02938,7a3f,稿
02939,7a3c,稼
02940,7a40,穀
02941,7a3d,稽
02942,7a37,稷
02943,7a3b,稻
02944,7a4d,積
02945,7a4e,穎
02946,7a46,穆
02947,7a4c,穌
02948,7a57,穗
02949,7a61,穡
02950,7a62,穢
02951,7a6b,穫
02952,7a69,穩
02953,7a74,穴
02954,7a76,究
02955,7a7a,空
02956,7a79,穹
02957,7a7f,穿
02958,7a81,突
02959,7a84,窄
02960,7a88,窈
02961,7a92,窒
02962,7a95,窕
02963,7a98,窘
02964,7a97,窗
02965,7a96,窖
02966,7a9f,窟
02967,7aa0,窠
02968,7aaa,窪
02969,7aa9,窩
02970,7aaf,窯
02971,7aae,窮
02972,7aba,窺
02973,7ac4,竄
02974,7ac5,竅
02975,7ac7,竇
02976,7aca,竊
02977,7acb,立
02978,7ad9,站
02979,7ae5,童
02980,7ae3,竣
02981,7aed,竭
02982,7aef,端
02983,7af6,競
02984,7af9,竹
02985,7afa,竺
02986,7aff,竿
02987,7afd,竽
02988,7b06,笆
02989,7b11,笑
02990,7b20,笠
02991,7b28,笨
02992,7b1b,笛
02993,7b2c,第
02994,7b26,符
02995,7b19,笙
02996,7b1e,笞
02997,7b49,等
02998,7b56,策
02999,7b46,筆
03000,7b50,筐
03001,7b52,筒
03002,7b54,答
03003,7b4d,筍
03004,7b4b,筋
03005,7b4f,筏
03006,7b77,筷
03007,7bc0,節
03008,7b60,筠
03009,7ba1,管
03010,7b95,箕
03011,7b8b,箋
03012,7b75,筵
03013,7b97,算
03014,7b9d,箝
03015,7b94,箔
03016,7b8f,箏
03017,7bad,箭
03018,7bb1,箱
03019,7bc4,範
03020,7bb4,箴
03021,7bc6,篆
03022,7bc7,篇
03023,7bc1,篁
03024,7bd9,篙
03025,7c11,簑
03026,7bc9,築
03027,7be4,篤
03028,7bdb,篛
03029,7be1,篡
03030,7be9,篩
03031,7c07,簇
03032,7c0d,簍
03033,7bfe,篾
03034,7bf7,篷
03035,7c2b,簫
03036,7c27,簧
03037,7c2a,簪
03038,7c1e,簞
03039,7c23,簣
03040,7c21,簡
03041,7c3e,簾
03042,7c3f,簿
03043,7c38,簸
03044,7c3d,簽
03045,7c37,簷
03046,7c4c,籌
03047,7c43,籃
03048,7c4d,籍
03049,7c50,籐
03050,7c60,籠
03051,7c5f,籟
03052,7c64,籤
03053,7c6c,籬
03054,7c6e,籮
03055,7c72,籲
03056,7c73,米
03057,7c89,粉
03058,7c92,粒
03059,7c97,粗
03060,7c9f,粟
03061,7ca5,粥
03062,7cb1,粱
03063,7cb3,粳
03064,7cb5,粵
03065,7cb9,粹
03066,7cbd,粽
03067,7cbe,精
03068,7cca,糊
03069,7cd5,糕
03070,7cd6,糖
03071,7ce0,糠
03072,7cdc,糜
03073,7cde,糞
03074,7ce2,糢
03075,7cdf,糟
03076,7cd9,糙
03077,7ce7,糧
03078,7cef,糯
03079,7cf8,糸
03080,7cfb,系
03081,7cfe,糾
03082,7d02,紂
03083,7d05,紅
03084,7d00,紀
03085,7d09,紉
03086,7d07,紇
03087,7d04,約
03088,7d21,紡
03089,7d17,紗
03090,7d0b,紋
03091,7d0a,紊
03092,7d20,素
03093,7d22,索
03094,7d14,純
03095,7d10,紐
03096,7d15,紕
03097,7d1a,級
03098,7d1c,紜
03099,7d0d,納
03100,7d19,紙
03101,7d1b,紛
03102,7d46,絆
03103,7d43,絃
03104,7d71,統
03105,7d2e,紮
03106,7d39,紹
03107,7d3c,紼
03108,7d40,絀
03109,7d30,細
03110,7d33,紳
03111,7d44,組
03112,7d2f,累
03113,7d42,終
03114,7d5e,絞
03115,7d50,結
03116,7d68,絨
03117,7d55,絕
03118,7d2b,紫
03119,7d6e,絮
03120,7d72,絲
03121,7d61,絡
03122,7d66,給
03123,7d62,絢
03124,7d93,經
03125,7d79,絹
03126,7d91,綑
03127,7d81,綁
03128,7d8f,綏
03129,7dbb,綻
03130,7db0,綰
03131,7d9c,綜
03132,7dbd,綽
03133,7dbe,綾
03134,7da0,綠
03135,7dca,緊
03136,7db4,綴
03137,7db2,網
03138,7db1,綱
03139,7dba,綺
03140,7da2,綢
03141,7dbf,綿
03142,7db5,綵
03143,7db8,綸
03144,7dad,維
03145,7dd2,緒
03146,7dc7,緇
03147,7de0,締
03148,7df4,練
03149,7def,緯
03150,7dfb,緻
03151,7dd8,緘
03152,7dec,緬
03153,7ddd,緝
03154,7de8,編
03155,7de3,緣
03156,7dda,線
03157,7dde,緞
03158,7de9,緩
03159,7d9e,綞
03160,7e0a,縊
03161,7e11,縑
03162,7e08,縈
03163,7e1b,縛
03164,7e23,縣
03165,7e2e,縮
03166,7e3e,績
03167,7e46,繆
03168,7e37,縷
03169,7e32,縲
03170,7e43,繃
03171,7e2b,縫
03172,7e3d,總
03173,7e31,縱
03174,7e45,繅
03175,7e41,繁
03176,7e54,織
03177,7e55,繕
03178,7e5e,繞
03179,7e5a,繚
03180,7e61,繡
03181,7e6b,繫
03182,7e6d,繭
03183,7e79,繹
03184,7e69,繩
03185,7e6a,繪
03186,8fae,辮
03187,7e7d,繽
03188,7e7c,繼
03189,7e82,纂
03190,7e8f,纏
03191,7e8c,續
03192,7e93,纓
03193,7e96,纖
03194,7e9c,纜
03195,7f36,缶
03196,7f38,缸
03197,7f3a,缺
03198,7f3d,缽
03199,7f44,罄
03200,7f48,罈
03201,7f50,罐
03202,7f55,罕
03203,7f54,罔
03204,7f5f,罟
03205,7f6e,置
03206,7f69,罩
03207,7f6a,罪
03208,7f72,署
03209,7f70,罰
03210,7f75,罵
03211,7f77,罷
03212,7f79,罹
03213,7f85,羅
03214,7f88,羈
03215,7f8a,羊
03216,7f8c,羌
03217,7f8b,羋
03218,7f8e,美
03219,7f94,羔
03220,7f9e,羞
03221,7f9a,羚
03222,5584,善
03223,7fa9,義
03224,7fa8,羨
03225,7fa4,群
03226,7faf,羯
03227,7fb2,羲
03228,7fb6,羶
03229,7fb9,羹
03230,7fb8,羸
03231,7fbd,羽
03232,7fbf,羿
03233,7fc5,翅
03234,7fc1,翁
03235,7fcc,翌
03236,7fce,翎
03237,7fd2,習
03238,7fd4,翔
03239,7fd5,翕
03240,7fe0,翠
03241,7fe1,翡
03242,7fdf,翟
03243,7fe9,翩
03244,7ff0,翰
03245,7ff1,翱
03246,7ff3,翳
03247,7ffc,翼
03248,7ff9,翹
03249,7ffb,翻
03250,8000,耀
03251,8001,老
03252,8003,考
03253,8005,者
03254,8006,耆
03255,800c,而
03256,8010,耐
03257,800d,耍
03258,8012,耒
03259,8018,耘
03260,8015,耕
03261,8019,耙
03262,8017,耗
03263,801c,耜
03264,8033,耳
03265,8036,耶
03266,803d,耽
03267,803f,耿
03268,804a,聊
03269,8046,聆
03270,8056,聖
03271,8058,聘
03272,805e,聞
03273,805a,聚
03274,8071,聱
03275,8072,聲
03276,8070,聰
03277,806f,聯
03278,8073,聳
03279,8077,職
03280,8076,聶
03281,807e,聾
03282,807d,聽
03283,807f,聿
03284,8086,肆
03285,8084,肄
03286,8085,肅
03287,8087,肇
03288,8089,肉
03289,808b,肋
03290,808c,肌
03291,8096,肖
03292,8093,肓
03293,809d,肝
03294,8098,肘
03295,809b,肛
03296,809a,肚
03297,80b2,育
03298,80ba,肺
03299,80a5,肥
03300,80a2,肢
03301,80b1,肱
03302,80a1,股
03303,80ab,肫
03304,80a9,肩
03305,80b4,肴
03306,80aa,肪
03307,80af,肯
03308,80d6,胖
03309,80e5,胥
03310,80da,胚
03311,80c3,胃
03312,80c4,胄
03313,80cc,背
03314,80e1,胡
03315,80db,胛
03316,80ce,胎
03317,80de,胞
03318,80e4,胤
03319,80f1,胱
03320,8102,脂
03321,80f0,胰
03322,8105,脅
03323,80ed,胭
03324,80f4,胴
03325,8106,脆
03326,80f8,胸
03327,80f3,胳
03328,8108,脈
03329,80fd,能
03330,810a,脊
03331,812f,脯
03332,8116,脖
03333,8123,脣
03334,812b,脫
03335,8129,脩
03336,8155,腕
03337,8154,腔
03338,814b,腋
03339,8151,腑
03340,814e,腎
03341,8139,脹
03342,8146,腆
03343,813e,脾
03344,8150,腐
03345,8171,腱
03346,8170,腰
03347,8178,腸
03348,8165,腥
03349,816e,腮
03350,8173,腳
03351,816b,腫
03352,8179,腹
03353,817a,腺
03354,8166,腦
03355,8180,膀
03356,818f,膏
03357,8188,膈
03358,818a,膊
03359,817f,腿
03360,819b,膛
03361,819c,膜
03362,819d,膝
03363,81a0,膠
03364,819a,膚
03365,81b3,膳
03366,81a9,膩
03367,81a8,膨
03368,81c6,臆
03369,81c3,臃
03370,81ba,膺
03371,81c2,臂
03372,81c0,臀
03373,81bf,膿
03374,81bd,膽
03375,81c9,臉
03376,81be,膾
03377,81cd,臍
03378,81cf,臏
03379,81d8,臘
03380,81da,臚
03381,81df,臟
03382,81e3,臣
03383,81e5,臥
03384,81e7,臧
03385,81e8,臨
03386,81ea,自
03387,81ed,臭
03388,81ec,臬
03389,81f3,至
03390,81f4,致
03391,81fa,臺
03392,81fb,臻
03393,81fc,臼
03394,81fe,臾
03395,8200,舀
03396,8202,舂
03397,8205,舅
03398,8207,與
03399,8208,興
03400,8209,舉
03401,820a,舊
03402,820c,舌
03403,820d,舍
03404,8210,舐
03405,8212,舒
03406,8214,舔
03407,821b,舛
03408,821c,舜
03409,821e,舞
03410,821f,舟
03411,8222,舢
03412,822a,航
03413,822b,舫
03414,8228,舨
03415,822c,般
03416,8235,舵
03417,8237,舷
03418,8236,舶
03419,8239,船
03420,8247,艇
03421,8258,艘
03422,8259,艙
03423,8266,艦
03424,826e,艮
03425,826f,良
03426,8271,艱
03427,8272,色
03428,827e,艾
03429,8292,芒
03430,828b,芋
03431,828d,芍
03432,82b3,芳
03433,829d,芝
03434,8299,芙
03435,82ad,芭
03436,82bd,芽
03437,829f,芟
03438,82b9,芹
03439,82b1,花
03440,82ac,芬
03441,82a5,芥
03442,82bb,芻
03443,82e7,苧
03444,8303,范
03445,8305,茅
03446,82e3,苣
03447,82db,苛
03448,82e6,苦
03449,8304,茄
03450,82e5,若
03451,8302,茂
03452,8309,茉
03453,82d2,苒
03454,82d7,苗
03455,82f1,英
03456,8301,茁
03457,82dc,苜
03458,82d4,苔
03459,82d1,苑
03460,82de,苞
03461,82d3,苓
03462,82df,苟
03463,832b,茫
03464,8352,荒
03465,8354,荔
03466,834a,荊
03467,8338,茸
03468,8350,荐
03469,8349,草
03470,8335,茵
03471,8334,茴
03472,834f,荏
03473,8332,茲
03474,8339,茹
03475,8336,茶
03476,8317,茗
03477,8340,荀
03478,8331,茱
03479,838e,莎
03480,839e,莞
03481,8398,莘
03482,8378,荸
03483,83a2,莢
03484,8396,莖
03485,83bd,莽
03486,83ab,莫
03487,8392,莒
03488,838a,莊
03489,8393,莓
03490,8389,莉
03491,83a0,莠
03492,8377,荷
03493,837b,荻
03494,837c,荼
03495,83e9,菩
03496,8403,萃
03497,83f8,菸
03498,840d,萍
03499,83e0,菠
03500,83c5,菅
03501,840b,萋
03502,83c1,菁
03503,83ef,華
03504,83f1,菱
03505,83f4,菴
03506,8457,著
03507,840a,萊
03508,83f0,菰
03509,840c,萌
03510,83cc,菌
03511,83fd,菽
03512,83f2,菲
03513,83ca,菊
03514,8438,萸
03515,840e,萎
03516,8404,萄
03517,83dc,菜
03518,8482,蒂
03519,8477,葷
03520,843d,落
03521,8431,萱
03522,8475,葵
03523,8466,葦
03524,846b,葫
03525,8449,葉
03526,846c,葬
03527,845b,葛
03528,843c,萼
03529,8435,萵
03530,8461,葡
03531,8463,董
03532,8469,葩
03533,84c9,蓉
03534,84bf,蒿
03535,84c6,蓆
03536,84c4,蓄
03537,8499,蒙
03538,849e,蒞
03539,84b2,蒲
03540,849c,蒜
03541,84cb,蓋
03542,84b8,蒸
03543,84c0,蓀
03544,84d3,蓓
03545,8490,蒐
03546,84bc,蒼
03547,8517,蔗
03548,853d,蔽
03549,851a,蔚
03550,84ee,蓮
03551,852c,蔬
03552,852d,蔭
03553,8513,蔓
03554,8511,蔑
03555,8523,蔣
03556,8521,蔡
03557,8514,蔔
03558,84ec,蓬
03559,8525,蔥
03560,84ff,蓿
03561,854a,蕊
03562,8559,蕙
03563,8548,蕈
03564,8568,蕨
03565,8569,蕩
03566,8543,蕃
03567,8549,蕉
03568,856d,蕭
03569,856a,蕪
03570,85aa,薪
03571,8584,薄
03572,857e,蕾
03573,859c,薜
03574,8591,薑
03575,8594,薔
03576,85af,薯
03577,859b,薛
03578,8587,薇
03579,85cf,藏
03580,85a9,薩
03581,85cd,藍
03582,85d0,藐
03583,85c9,藉
03584,85b0,薰
03585,85e9,藩
03586,85dd,藝
03587,85ea,藪
03588,85d5,藕
03589,85e4,藤
03590,85e5,藥
03591,85fb,藻
03592,85f9,藹
03593,8611,蘑
03594,85fa,藺
03595,8606,蘆
03596,860b,蘋
03597,8607,蘇
03598,860a,蘊
03599,8617,蘗
03600,862d,蘭
03601,861a,蘚
03602,8638,蘸
03603,863f,蘿
03604,864e,虎
03605,8650,虐
03606,8654,虔
03607,8655,處
03608,5f6a,彪
03609,865b,虛
03610,865c,虜
03611,865e,虞
03612,865f,號
03613,8667,虧
03614,866b,虫
03615,8671,虱
03616,8679,虹
03617,868a,蚊
03618,86aa,蚪
03619,8693,蚓
03620,86a4,蚤
03621,86a9,蚩
03622,868c,蚌
03623,86a3,蚣
03624,86c7,蛇
03625,86c0,蛀
03626,86b6,蚶
03627,86c4,蛄
03628,86b5,蚵
03629,86c6,蛆
03630,86cb,蛋
03631,86b1,蚱
03632,86af,蚯
03633,86df,蛟
03634,86d9,蛙
03635,86ed,蛭
03636,86d4,蛔
03637,86db,蛛
03638,86e4,蛤
03639,86f9,蛹
03640,8713,蜓
03641,8708,蜈
03642,8707,蜇
03643,8700,蜀
03644,86fe,蛾
03645,86fb,蛻
03646,8702,蜂
03647,8703,蜃
03648,873f,蜿
03649,871c,蜜
03650,873b,蜻
03651,8722,蜢
03652,8725,蜥
03653,8734,蜴
03654,8718,蜘
03655,8755,蝕
03656,8782,螂
03657,8774,蝴
03658,8776,蝶
03659,8760,蝠
03660,8766,蝦
03661,8778,蝸
03662,8768,蝨
03663,8759,蝙
03664,8757,蝗
03665,874c,蝌
03666,8783,螃
03667,879f,螟
03668,879e,螞
03669,87a2,螢
03670,878d,融
03671,87c0,蟀
03672,87d1,蟑
03673,87b3,螳
03674,87d2,蟒
03675,87c6,蟆
03676,87ab,螫
03677,87bb,螻
03678,87ba,螺
03679,87c8,蟈
03680,87cb,蟋
03681,87ef,蟯
03682,87ec,蟬
03683,87f2,蟲
03684,87fb,蟻
03685,8805,蠅
03686,880d,蠍
03687,87f9,蟹
03688,8814,蠔
03689,8815,蠕
03690,8823,蠣
03691,8822,蠢
03692,8821,蠡
03693,881f,蠟
03694,8831,蠱
03695,8836,蠶
03696,8839,蠹
03697,883b,蠻
03698,8840,血
03699,884c,行
03700,884d,衍
03701,8853,術
03702,8857,街
03703,8859,衙
03704,885b,衛
03705,885d,衝
03706,8861,衡
03707,8862,衢
03708,8863,衣
03709,521d,初
03710,8868,表
03711,886b,衫
03712,8870,衰
03713,8877,衷
03714,8881,袁
03715,8882,袂
03716,889e,袞
03717,8888,袈
03718,88ab,被
03719,8892,袒
03720,8896,袖
03721,888d,袍
03722,888b,袋
03723,88c1,裁
03724,88c2,裂
03725,88b1,袱
03726,88df,裟
03727,88d4,裔
03728,88d9,裙
03729,88dc,補
03730,88d8,裘
03731,88dd,裝
03732,88e1,裡
03733,88ca,裊
03734,88d5,裕
03735,88f3,裳
03736,8902,褂
03737,88f4,裴
03738,88f9,裹
03739,88f8,裸
03740,88fd,製
03741,88e8,裨
03742,891a,褚
03743,8910,褐
03744,8907,複
03745,8912,褒
03746,8913,褓
03747,892a,褪
03748,8932,褲
03749,8925,褥
03750,892b,褫
03751,893b,褻
03752,8936,褶
03753,8944,襄
03754,8938,褸
03755,8960,襠
03756,895f,襟
03757,8956,襖
03758,8964,襤
03759,896a,襪
03760,8972,襲
03761,896f,襯
03762,897f,西
03763,8981,要
03764,8983,覃
03765,8986,覆
03766,898b,見
03767,8993,覓
03768,898f,規
03769,8996,視
03770,89aa,親
03771,89a6,覦
03772,89ac,覬
03773,89b2,覲
03774,89ba,覺
03775,89bd,覽
03776,89c0,觀
03777,89d2,角
03778,89e3,解
03779,89f4,觴
03780,89f8,觸
03781,8a00,言
03782,8a08,計
03783,8a02,訂
03784,8a03,訃
03785,8a18,記
03786,8a10,訐
03787,8a0e,討
03788,8a0c,訌
03789,8a15,訕
03790,8a0a,訊
03791,8a17,託
03792,8a13,訓
03793,8a16,訖
03794,8a2a,訪
03795,8a1d,訝
03796,8a23,訣
03797,8a25,訥
03798,8a31,許
03799,8a2d,設
03800,8a1f,訟
03801,8a1b,訛
03802,8a3b,註
03803,8a60,詠
03804,8a55,評
03805,8a5e,詞
03806,8a3c,証
03807,8a41,詁
03808,8a54,詔
03809,8a5b,詛
03810,8a50,詐
03811,8a46,詆
03812,8a34,訴
03813,8a3a,診
03814,8a6b,詫
03815,8a72,該
03816,8a73,詳
03817,8a66,試
03818,8a69,詩
03819,8a70,詰
03820,8a87,誇
03821,8a7c,詼
03822,8a63,詣
03823,8aa0,誠
03824,8a71,話
03825,8a85,誅
03826,8a6d,詭
03827,8a62,詢
03828,8a6e,詮
03829,8a6c,詬
03830,8a79,詹
03831,8aa6,誦
03832,8a8c,誌
03833,8a9e,語
03834,8aa3,誣
03835,8a8d,認
03836,8aa1,誡
03837,8a93,誓
03838,8aa4,誤
03839,8aaa,說
03840,8aa5,誥
03841,8aa8,誨
03842,8a98,誘
03843,8a91,誑
03844,8abc,誼
03845,8ad2,諒
03846,8ac7,談
03847,8ac4,諄
03848,8a95,誕
03849,8acb,請
03850,8af8,諸
03851,8ab2,課
03852,8ac9,諉
03853,8ac2,諂
03854,8abf,調
03855,8ab0,誰
03856,8ad6,論
03857,8acd,諍
03858,8ae6,諦
03859,8afa,諺
03860,8aeb,諫
03861,8af1,諱
03862,8b00,謀
03863,8adc,諜
03864,8ae7,諧
03865,8aee,諮
03866,8afe,諾
03867,8b01,謁
03868,8b02,謂
03869,8af7,諷
03870,8aed,諭
03871,8b0e,謎
03872,8b17,謗
03873,8b19,謙
03874,8b1b,講
03875,8b0a,謊
03876,8b20,謠
03877,8b1d,謝
03878,8b04,謄
03879,8b28,謨
03880,8b39,謹
03881,8b2c,謬
03882,8b41,譁
03883,8b5c,譜
03884,8b58,識
03885,8b49,證
03886,8b5a,譚
03887,8b4e,譎
03888,8b4f,譏
03889,8b70,議
03890,8b6c,譬
03891,8b66,警
03892,8b6f,譯
03893,8b74,譴
03894,8b77,護
03895,8b7d,譽
03896,8b80,讀
03897,8b8a,變
03898,8b93,讓
03899,8b92,讒
03900,8b96,讖
03901,8b9a,讚
03902,8c37,谷
03903,8c41,豁
03904,8c3f,谿
03905,8c46,豆
03906,8c48,豈
03907,8c49,豉
03908,8c4c,豌
03909,8c4e,豎
03910,8c50,豐
03911,8c54,豔
03912,8c55,豕
03913,8c5a,豚
03914,8c61,象
03915,8c62,豢
03916,8c6a,豪
03917,8c6c,豬
03918,8c6b,豫
03919,8c7a,豺
03920,8c79,豹
03921,8c82,貂
03922,8c8a,貊
03923,8c89,貉
03924,8c8d,貍
03925,8c8c,貌
03926,8c93,貓
03927,8c9d,貝
03928,8c9e,貞
03929,8ca0,負
03930,8ca1,財
03931,8ca2,貢
03932,8ca9,販
03933,8cac,責
03934,8cab,貫
03935,8ca8,貨
03936,8caa,貪
03937,8ca7,貧
03938,8caf,貯
03939,8cbc,貼
03940,8cb3,貳
03941,8cbd,貽
03942,8cc1,賁
03943,8cbb,費
03944,8cc0,賀
03945,8cb4,貴
03946,8cb7,買
03947,8cb6,貶
03948,8cbf,貿
03949,8cb8,貸
03950,8cca,賊
03951,8cc7,資
03952,8cc8,賈
03953,8cc4,賄
03954,8cb2,貲
03955,8cc3,賃
03956,8cc2,賂
03957,8cc5,賅
03958,8cd3,賓
03959,8cd1,賑
03960,8cd2,賒
03961,8ce0,賠
03962,8cde,賞
03963,8ce6,賦
03964,8ce4,賤
03965,8cec,賬
03966,8ced,賭
03967,8ce2,賢
03968,8ce3,賣
03969,8cdc,賜
03970,8cea,質
03971,8cf4,賴
03972,8cfa,賺
03973,8cfd,賽
03974,8cfc,購
03975,8d05,贅
03976,8d08,贈
03977,8d0a,贊
03978,8d0f,贏
03979,8d0d,贍
03980,8d13,贓
03981,8d16,贖
03982,8d17,贗
03983,8d1b,贛
03984,8d64,赤
03985,8d67,赧
03986,8d66,赦
03987,8d6b,赫
03988,8d6d,赭
03989,8d70,走
03990,8d74,赴
03991,8d73,赳
03992,8d77,起
03993,8d8a,越
03994,8d85,超
03995,8d81,趁
03996,8d99,趙
03997,8d95,趕
03998,8d9f,趟
03999,8da3,趣
04000,8da8,趨
04001,8db3,足
04002,8db4,趴
04003,8dbe,趾
04004,8dce,跎
04005,8ddd,距
04006,8dcb,跋
04007,8dda,跚
04008,8dd1,跑
04009,8dcc,跌
04010,8ddb,跛
04011,8dc6,跆
04012,8de1,跡
04013,8ddf,跟
04014,8de8,跨
04015,8def,路
04016,8df3,跳
04017,8dfa,跺
04018,8dea,跪
04019,8dfc,跼
04020,8e2b,踫
04021,8e10,踐
04022,8e1d,踝
04023,8e22,踢
04024,8e0f,踏
04025,8e29,踩
04026,8e1f,踟
04027,8e44,蹄
04028,8e31,踱
04029,8e34,踴
04030,8e42,蹂
04031,8e39,踹
04032,8e35,踵
04033,8e49,蹉
04034,8e4b,蹋
04035,8e48,蹈
04036,8e4a,蹊
04037,8e59,蹙
04038,8e63,蹣
04039,8e66,蹦
04040,8e64,蹤
04041,8e7c,蹼
04042,8e72,蹲
04043,8e87,躇
04044,8e76,蹶
04045,8e6c,蹬
04046,8e7a,蹺
04047,8e89,躉
04048,8e81,躁
04049,8e85,躅
04050,8e82,躂
04051,8e8a,躊
04052,8e8d,躍
04053,8e91,躑
04054,8ea1,躡
04055,8eaa,躪
04056,8eab,身
04057,8eac,躬
04058,8eb2,躲
04059,8eba,躺
04060,8ec0,軀
04061,8eca,車
04062,8ecb,軋
04063,8ecd,軍
04064,8ecc,軌
04065,8ed2,軒
04066,8ed4,軔
04067,8edb,軛
04068,8edf,軟
04069,8efb,軻
04070,8ef8,軸
04071,8efc,軼
04072,8f03,較
04073,8f09,載
04074,8efe,軾
04075,8f0a,輊
04076,8f14,輔
04077,8f12,輒
04078,8f15,輕
04079,8f13,輓
04080,8f1d,輝
04081,8f1b,輛
04082,8f1f,輟
04083,8f29,輩
04084,8f26,輦
04085,8f2a,輪
04086,8f1c,輜
04087,8f3b,輻
04088,8f2f,輯
04089,8f38,輸
04090,8f44,轄
04091,8f3e,輾
04092,8f42,轂
04093,8f45,轅
04094,8f3f,輿
04095,8f49,轉
04096,8f4d,轍
04097,8f54,轔
04098,8f4e,轎
04099,8f5f,轟
04100,8f61,轡
04101,8f9b,辛
04102,8f9c,辜
04103,8f9f,辟
04104,8fa3,辣
04105,8fa8,辨
04106,8fa6,辦
04107,8fad,辭
04108,8faf,辯
04109,8fb0,辰
04110,8fb1,辱
04111,8fb2,農
04112,8fc2,迂
04113,8fc6,迆
04114,8fc5,迅
04115,8fc4,迄
04116,5de1,巡
04117,8fce,迎
04118,8fd4,返
04119,8fd1,近
04120,8ff0,述
04121,8fe6,迦
04122,8fe2,迢
04123,8fea,迪
04124,8fe5,迥
04125,8fed,迭
04126,8feb,迫
04127,9001,送
04128,9006,逆
04129,8ff7,迷
04130,9000,退
04131,8ffa,迺
04132,8ff4,迴
04133,9003,逃
04134,8ffd,追
04135,9005,逅
04136,9019,這
04137,900d,逍
04138,901a,通
04139,9017,逗
04140,9023,連
04141,901f,速
04142,901d,逝
04143,9010,逐
04144,9015,逕
04145,901e,逞
04146,9020,造
04147,900f,透
04148,9022,逢
04149,9016,逖
04150,901b,逛
04151,9014,途
04152,902e,逮
04153,9035,逵
04154,9031,週
04155,9038,逸
04156,9032,進
04157,904b,運
04158,904a,遊
04159,9053,道
04160,9042,遂
04161,9054,達
04162,903c,逼
04163,9055,違
04164,9050,遐
04165,9047,遇
04166,904f,遏
04167,904e,過
04168,904d,遍
04169,9051,遑
04170,903e,逾
04171,9041,遁
04172,9060,遠
04173,9058,遘
04174,905c,遜
04175,9063,遣
04176,9059,遙
04177,905e,遞
04178,9069,適
04179,906e,遮
04180,9068,遨
04181,906d,遭
04182,9077,遷
04183,9075,遵
04184,9074,遴
04185,9078,選
04186,9072,遲
04187,907c,遼
04188,907a,遺
04189,907f,避
04190,907d,遽
04191,9084,還
04192,9081,邁
04193,9082,邂
04194,9080,邀
04195,9087,邇
04196,908a,邊
04197,9090,邐
04198,908f,邏
04199,9091,邑
04200,9095,邕
04201,90a2,邢
04202,90aa,邪
04203,90a6,邦
04204,90a3,那
04205,90b5,邵
04206,90b8,邸
04207,90b1,邱
04208,90ca,郊
04209,90ce,郎
04210,90c1,郁
04211,90e1,郡
04212,90e8,部
04213,90ed,郭
04214,90fd,都
04215,9102,鄂
04216,90f5,郵
04217,9109,鄉
04218,9112,鄒
04219,9119,鄙
04220,9130,鄰
04221,912d,鄭
04222,9127,鄧
04223,9131,鄱
04224,9139,鄹
04225,9149,酉
04226,914b,酋
04227,914a,酊
04228,9152,酒
04229,914d,配
04230,914c,酌
04231,9157,酗
04232,9163,酣
04233,9165,酥
04234,916c,酬
04235,916a,酪
04236,9169,酩
04237,9175,酵
04238,9178,酸
04239,9177,酷
04240,9187,醇
04241,9189,醉
04242,918b,醋
04243,9183,醃
04244,9192,醒
04245,91a3,醣
04246,919e,醞
04247,919c,醜
04248,91ab,醫
04249,91ac,醬
04250,91ba,醺
04251,91c0,釀
04252,91c1,釁
04253,91c7,采
04254,91c9,釉
04255,91cb,釋
04256,91cc,里
04257,91cd,重
04258,91ce,野
04259,91cf,量
04260,91d0,釐
04261,91d1,金
04262,91d8,釘
04263,91dd,針
04264,91d7,釗
04265,91dc,釜
04266,91f5,釵
04267,91e6,釦
04268,91e3,釣
04269,91e7,釧
04270,9214,鈔
04271,9223,鈣
04272,9215,鈕
04273,9209,鈉
04274,921e,鈞
04275,920d,鈍
04276,9210,鈐
04277,9237,鈷
04278,9257,鉗
04279,9238,鈸
04280,923d,鈽
04281,9240,鉀
04282,923e,鈾
04283,925b,鉛
04284,924b,鉋
04285,9264,鉤
04286,9251,鉑
04287,9234,鈴
04288,9278,鉸
04289,92ac,銬
04290,9280,銀
04291,9285,銅
04292,9298,銘
04293,9296,銖
04294,927b,鉻
04295,9293,銓
04296,929c,銜
04297,92c5,鋅
04298,92bb,銻
04299,92b7,銷
04300,92ea,鋪
04301,92e4,鋤
04302,92c1,鋁
04303,92b3,銳
04304,92bc,銼
04305,92d2,鋒
04306,9320,錠
04307,9336,錶
04308,92f8,鋸
04309,9333,錳
04310,932f,錯
04311,9322,錢
04312,92fc,鋼
04313,932b,錫
04314,9304,錄
04315,931a,錚
04316,9310,錐
04317,9326,錦
04318,934d,鍍
04319,9382,鎂
04320,9328,錨
04321,9375,鍵
04322,934a,鍊
04323,9365,鍥
04324,934b,鍋
04325,9318,錘
04326,937e,鍾
04327,936c,鍬
04328,935b,鍛
04329,9370,鍰
04330,9394,鎔
